index,label,split,seed,dataset,forget_per_class
32048,0,forget,1,Cifar20,50
34665,0,forget,1,Cifar20,50
5129,0,forget,1,Cifar20,50
7155,0,forget,1,Cifar20,50
47363,0,forget,1,Cifar20,50
48154,0,forget,1,Cifar20,50
32197,0,forget,1,Cifar20,50
3594,0,forget,1,Cifar20,50
26488,0,forget,1,Cifar20,50
9470,0,forget,1,Cifar20,50
33563,0,forget,1,Cifar20,50
17384,0,forget,1,Cifar20,50
13181,0,forget,1,Cifar20,50
7143,0,forget,1,Cifar20,50
32049,0,forget,1,Cifar20,50
20169,0,forget,1,Cifar20,50
42847,0,forget,1,Cifar20,50
30631,0,forget,1,Cifar20,50
15274,0,forget,1,Cifar20,50
15753,0,forget,1,Cifar20,50
31066,0,forget,1,Cifar20,50
32404,0,forget,1,Cifar20,50
32233,0,forget,1,Cifar20,50
48921,0,forget,1,Cifar20,50
7136,0,forget,1,Cifar20,50
37402,0,forget,1,Cifar20,50
3780,0,forget,1,Cifar20,50
34921,0,forget,1,Cifar20,50
18064,0,forget,1,Cifar20,50
21328,0,forget,1,Cifar20,50
19002,0,forget,1,Cifar20,50
32124,0,forget,1,Cifar20,50
25342,0,forget,1,Cifar20,50
43530,0,forget,1,Cifar20,50
35137,0,forget,1,Cifar20,50
13971,0,forget,1,Cifar20,50
29399,0,forget,1,Cifar20,50
353,0,forget,1,Cifar20,50
40419,0,forget,1,Cifar20,50
36323,0,forget,1,Cifar20,50
33748,0,forget,1,Cifar20,50
42660,0,forget,1,Cifar20,50
45616,0,forget,1,Cifar20,50
22768,0,forget,1,Cifar20,50
33983,0,forget,1,Cifar20,50
33950,0,forget,1,Cifar20,50
31148,0,forget,1,Cifar20,50
41582,0,forget,1,Cifar20,50
40607,0,forget,1,Cifar20,50
11121,0,forget,1,Cifar20,50
16996,0,retain,1,Cifar20,50
23053,0,retain,1,Cifar20,50
441,0,retain,1,Cifar20,50
41774,0,retain,1,Cifar20,50
44077,0,retain,1,Cifar20,50
6803,0,retain,1,Cifar20,50
34143,0,retain,1,Cifar20,50
31600,0,retain,1,Cifar20,50
2126,0,retain,1,Cifar20,50
35389,0,retain,1,Cifar20,50
35204,0,retain,1,Cifar20,50
9062,0,retain,1,Cifar20,50
27440,0,retain,1,Cifar20,50
36551,0,retain,1,Cifar20,50
38748,0,retain,1,Cifar20,50
32681,0,retain,1,Cifar20,50
38950,0,retain,1,Cifar20,50
34660,0,retain,1,Cifar20,50
30241,0,retain,1,Cifar20,50
16854,0,retain,1,Cifar20,50
33632,0,retain,1,Cifar20,50
33686,0,retain,1,Cifar20,50
15758,0,retain,1,Cifar20,50
3520,0,retain,1,Cifar20,50
