index,label,split,seed,dataset,forget_per_class
8809,0,forget,1,MUCAC,527
10014,0,forget,1,MUCAC,527
2121,0,forget,1,MUCAC,527
8243,0,forget,1,MUCAC,527
1034,0,forget,1,MUCAC,527
4842,0,forget,1,MUCAC,527
4149,0,forget,1,MUCAC,527
7156,0,forget,1,MUCAC,527
8655,0,forget,1,MUCAC,527
8398,0,forget,1,MUCAC,527
8423,0,forget,1,MUCAC,527
8051,0,forget,1,MUCAC,527
727,0,forget,1,MUCAC,527
3952,0,forget,1,MUCAC,527
1694,0,forget,1,MUCAC,527
2666,0,forget,1,MUCAC,527
4159,0,forget,1,MUCAC,527
5839,0,forget,1,MUCAC,527
6845,0,forget,1,MUCAC,527
7479,0,forget,1,MUCAC,527
3918,0,forget,1,MUCAC,527
533,0,forget,1,MUCAC,527
7485,0,forget,1,MUCAC,527
9337,0,forget,1,MUCAC,527
2977,0,forget,1,MUCAC,527
4076,0,forget,1,MUCAC,527
1843,0,forget,1,MUCAC,527
5964,0,forget,1,MUCAC,527
377,0,forget,1,MUCAC,527
8007,0,forget,1,MUCAC,527
3551,0,forget,1,MUCAC,527
1992,0,forget,1,MUCAC,527
5898,0,forget,1,MUCAC,527
2215,0,forget,1,MUCAC,527
1294,0,forget,1,MUCAC,527
7930,0,forget,1,MUCAC,527
5376,0,forget,1,MUCAC,527
6783,0,forget,1,MUCAC,527
3718,0,forget,1,MUCAC,527
5749,0,forget,1,MUCAC,527
1565,0,forget,1,MUCAC,527
3002,0,forget,1,MUCAC,527
3594,0,forget,1,MUCAC,527
2758,0,forget,1,MUCAC,527
5759,0,forget,1,MUCAC,527
8828,0,forget,1,MUCAC,527
9650,0,forget,1,MUCAC,527
3130,0,forget,1,MUCAC,527
1671,0,forget,1,MUCAC,527
2773,0,forget,1,MUCAC,527
280,0,forget,1,MUCAC,527
7821,0,forget,1,MUCAC,527
10350,0,forget,1,MUCAC,527
2619,0,forget,1,MUCAC,527
3223,0,forget,1,MUCAC,527
10403,0,forget,1,MUCAC,527
4022,0,forget,1,MUCAC,527
8128,0,forget,1,MUCAC,527
5112,0,forget,1,MUCAC,527
10210,0,forget,1,MUCAC,527
4010,0,forget,1,MUCAC,527
5191,0,forget,1,MUCAC,527
3940,0,forget,1,MUCAC,527
1280,0,forget,1,MUCAC,527
2101,0,forget,1,MUCAC,527
2946,0,forget,1,MUCAC,527
327,0,forget,1,MUCAC,527
3166,0,forget,1,MUCAC,527
6791,0,forget,1,MUCAC,527
3510,0,forget,1,MUCAC,527
2917,0,forget,1,MUCAC,527
8214,0,forget,1,MUCAC,527
3312,0,forget,1,MUCAC,527
5888,0,forget,1,MUCAC,527
7,0,forget,1,MUCAC,527
4841,0,forget,1,MUCAC,527
5149,0,forget,1,MUCAC,527
9421,0,forget,1,MUCAC,527
7022,0,forget,1,MUCAC,527
9673,0,forget,1,MUCAC,527
4875,0,forget,1,MUCAC,527
1050,0,forget,1,MUCAC,527
1075,0,forget,1,MUCAC,527
9548,0,forget,1,MUCAC,527
5227,0,forget,1,MUCAC,527
234,0,forget,1,MUCAC,527
4461,0,forget,1,MUCAC,527
7814,0,forget,1,MUCAC,527
5172,0,forget,1,MUCAC,527
3444,0,forget,1,MUCAC,527
1880,0,forget,1,MUCAC,527
951,0,forget,1,MUCAC,527
10129,0,forget,1,MUCAC,527
8786,0,forget,1,MUCAC,527
5342,0,forget,1,MUCAC,527
4323,0,forget,1,MUCAC,527
4445,0,forget,1,MUCAC,527
450,0,forget,1,MUCAC,527
9737,0,forget,1,MUCAC,527
4691,0,forget,1,MUCAC,527
8902,0,forget,1,MUCAC,527
4728,0,forget,1,MUCAC,527
8604,0,forget,1,MUCAC,527
8438,0,forget,1,MUCAC,527
6308,0,forget,1,MUCAC,527
6681,0,forget,1,MUCAC,527
6015,0,forget,1,MUCAC,527
9784,0,forget,1,MUCAC,527
4033,0,forget,1,MUCAC,527
2948,0,forget,1,MUCAC,527
7321,0,forget,1,MUCAC,527
2348,0,forget,1,MUCAC,527
2559,0,forget,1,MUCAC,527
2327,0,forget,1,MUCAC,527
9135,0,forget,1,MUCAC,527
3756,0,forget,1,MUCAC,527
8162,0,forget,1,MUCAC,527
8086,0,forget,1,MUCAC,527
9916,0,forget,1,MUCAC,527
4088,0,forget,1,MUCAC,527
6802,0,forget,1,MUCAC,527
1425,0,forget,1,MUCAC,527
488,0,forget,1,MUCAC,527
5177,0,forget,1,MUCAC,527
8410,0,forget,1,MUCAC,527
7128,0,forget,1,MUCAC,527
9429,0,forget,1,MUCAC,527
8175,0,forget,1,MUCAC,527
8019,0,forget,1,MUCAC,527
7596,0,forget,1,MUCAC,527
7446,0,forget,1,MUCAC,527
9241,0,forget,1,MUCAC,527
9727,0,forget,1,MUCAC,527
36,0,forget,1,MUCAC,527
1656,0,forget,1,MUCAC,527
1735,0,forget,1,MUCAC,527
8915,0,forget,1,MUCAC,527
627,0,forget,1,MUCAC,527
7023,0,forget,1,MUCAC,527
8735,0,forget,1,MUCAC,527
9004,0,forget,1,MUCAC,527
1408,0,forget,1,MUCAC,527
2054,0,forget,1,MUCAC,527
8901,0,forget,1,MUCAC,527
8734,0,forget,1,MUCAC,527
1052,0,forget,1,MUCAC,527
2667,0,forget,1,MUCAC,527
4364,0,forget,1,MUCAC,527
4468,0,forget,1,MUCAC,527
9109,0,forget,1,MUCAC,527
2045,0,forget,1,MUCAC,527
5990,0,forget,1,MUCAC,527
5093,0,forget,1,MUCAC,527
4266,0,forget,1,MUCAC,527
717,0,forget,1,MUCAC,527
5782,0,forget,1,MUCAC,527
2234,0,forget,1,MUCAC,527
4286,0,forget,1,MUCAC,527
9846,0,forget,1,MUCAC,527
9790,0,forget,1,MUCAC,527
253,0,forget,1,MUCAC,527
9446,0,forget,1,MUCAC,527
200,0,forget,1,MUCAC,527
4313,0,forget,1,MUCAC,527
1083,0,forget,1,MUCAC,527
8500,0,forget,1,MUCAC,527
2691,0,forget,1,MUCAC,527
7402,0,forget,1,MUCAC,527
425,0,forget,1,MUCAC,527
4612,0,forget,1,MUCAC,527
554,0,forget,1,MUCAC,527
6198,0,forget,1,MUCAC,527
1219,0,forget,1,MUCAC,527
5897,0,forget,1,MUCAC,527
3837,0,forget,1,MUCAC,527
3623,0,forget,1,MUCAC,527
3520,0,forget,1,MUCAC,527
3211,0,forget,1,MUCAC,527
2592,0,forget,1,MUCAC,527
362,0,forget,1,MUCAC,527
967,0,forget,1,MUCAC,527
9842,0,forget,1,MUCAC,527
7028,0,forget,1,MUCAC,527
6515,0,forget,1,MUCAC,527
2838,0,forget,1,MUCAC,527
1299,0,forget,1,MUCAC,527
6608,0,forget,1,MUCAC,527
2634,0,forget,1,MUCAC,527
6400,0,forget,1,MUCAC,527
6327,0,forget,1,MUCAC,527
5828,0,forget,1,MUCAC,527
3448,0,forget,1,MUCAC,527
8094,0,forget,1,MUCAC,527
7744,0,forget,1,MUCAC,527
2400,0,forget,1,MUCAC,527
4645,0,forget,1,MUCAC,527
2587,0,forget,1,MUCAC,527
5054,0,forget,1,MUCAC,527
8700,0,forget,1,MUCAC,527
4724,0,forget,1,MUCAC,527
2125,0,forget,1,MUCAC,527
7881,0,forget,1,MUCAC,527
4334,0,forget,1,MUCAC,527
6611,0,forget,1,MUCAC,527
4992,0,forget,1,MUCAC,527
595,0,forget,1,MUCAC,527
2629,0,forget,1,MUCAC,527
989,0,forget,1,MUCAC,527
1756,0,forget,1,MUCAC,527
8279,0,forget,1,MUCAC,527
6121,0,forget,1,MUCAC,527
9530,0,forget,1,MUCAC,527
10285,0,forget,1,MUCAC,527
2160,0,forget,1,MUCAC,527
10290,0,forget,1,MUCAC,527
3907,0,forget,1,MUCAC,527
5445,0,forget,1,MUCAC,527
4904,0,forget,1,MUCAC,527
3042,0,forget,1,MUCAC,527
243,0,forget,1,MUCAC,527
10081,0,forget,1,MUCAC,527
3788,0,forget,1,MUCAC,527
4310,0,forget,1,MUCAC,527
666,0,forget,1,MUCAC,527
10276,0,forget,1,MUCAC,527
47,0,forget,1,MUCAC,527
1626,0,forget,1,MUCAC,527
9820,0,forget,1,MUCAC,527
5727,0,forget,1,MUCAC,527
7503,0,forget,1,MUCAC,527
7681,0,forget,1,MUCAC,527
1615,0,forget,1,MUCAC,527
10098,0,forget,1,MUCAC,527
6730,0,forget,1,MUCAC,527
2063,0,forget,1,MUCAC,527
5653,0,forget,1,MUCAC,527
4443,0,forget,1,MUCAC,527
4747,0,forget,1,MUCAC,527
9330,0,forget,1,MUCAC,527
6795,0,forget,1,MUCAC,527
8198,0,forget,1,MUCAC,527
10480,0,forget,1,MUCAC,527
3385,0,forget,1,MUCAC,527
8197,0,forget,1,MUCAC,527
6856,0,forget,1,MUCAC,527
8632,0,forget,1,MUCAC,527
823,0,forget,1,MUCAC,527
71,0,forget,1,MUCAC,527
9159,0,forget,1,MUCAC,527
5483,0,forget,1,MUCAC,527
6678,0,forget,1,MUCAC,527
8250,0,forget,1,MUCAC,527
10358,0,forget,1,MUCAC,527
8609,0,forget,1,MUCAC,527
4332,0,forget,1,MUCAC,527
5202,0,forget,1,MUCAC,527
1685,0,forget,1,MUCAC,527
6109,0,forget,1,MUCAC,527
4742,0,forget,1,MUCAC,527
1279,0,forget,1,MUCAC,527
2980,0,forget,1,MUCAC,527
4085,0,forget,1,MUCAC,527
9855,0,forget,1,MUCAC,527
10392,0,forget,1,MUCAC,527
3281,0,forget,1,MUCAC,527
7287,0,forget,1,MUCAC,527
2271,0,forget,1,MUCAC,527
4871,0,forget,1,MUCAC,527
9774,0,forget,1,MUCAC,527
1424,0,forget,1,MUCAC,527
2114,0,forget,1,MUCAC,527
2997,0,forget,1,MUCAC,527
356,0,forget,1,MUCAC,527
4173,0,forget,1,MUCAC,527
1678,0,forget,1,MUCAC,527
3914,0,forget,1,MUCAC,527
6158,0,forget,1,MUCAC,527
3746,0,forget,1,MUCAC,527
